District,Barr,Cameron,Faris,Washington,Fredrick,Catlett,Duncan,Holliday,Shelley,Wenzel,Leon,Booker,McGrath,Stevenson,Romans,Forsythe,Thompson,Blanton
HD_40,328,181,21,9,15,13,10,19,2,1,0,"2,999",860,410,137,35,49,52
HD_41,"1,018",771,34,38,32,77,15,21,13,13,2,"6,391","2,632",401,601,157,60,50
HD_42,173,128,12,9,9,13,5,15,6,2,2,"4,242",867,640,109,49,31,36
HD_43,206,161,10,7,7,14,5,13,3,7,0,"3,858",797,701,93,38,39,36
HD_44,570,260,26,14,26,11,7,12,6,7,3,"3,986","1,092",627,141,38,48,41
HD_45,"3,377","1,104",64,40,47,74,31,25,20,7,9,"2,640","1,624",438,262,172,33,37
HD_46,"1,449",929,34,26,42,58,21,30,8,10,4,"3,125","1,639",287,229,68,51,58
HD_47,"3,074","2,701",154,141,76,44,37,31,61,5,5,"1,026","1,310",168,259,142,72,80
HD_48,"2,766","2,298",42,58,77,72,21,40,27,11,15,"2,880","2,283",247,479,104,23,41
HD_49,"2,651","1,854",105,50,44,38,28,29,19,5,7,780,"1,006",90,174,77,73,42
HD_50,"2,376","2,199",126,70,62,48,30,33,41,9,7,"1,521","1,712",195,277,102,124,73
HD_51,"3,225","1,882",80,50,57,39,32,47,19,13,9,"1,297","1,810",151,268,98,191,144
HD_52,"5,528","2,511",54,190,105,41,82,69,29,8,20,341,431,43,26,53,37,29
HD_53,"4,402","2,318",124,107,61,56,49,42,73,11,11,"1,158","1,202",310,225,127,71,81
HD_54,"4,498","2,116",102,100,68,53,44,60,17,18,12,"1,160",810,138,106,99,30,70
HD_55,"3,068","1,581",105,44,42,52,32,60,19,9,8,"1,205","1,271",284,225,109,69,63
HD_56,"3,279","1,188",67,51,42,78,55,33,20,11,10,"2,448","1,900",463,368,160,84,95
HD_57,"1,972",869,67,39,37,55,26,36,9,12,5,"3,275","2,342",434,355,228,101,210
HD_58,"3,518","3,290",153,114,59,62,28,39,51,8,10,"1,562","1,256",179,287,77,42,67
HD_59,"3,288","3,848",103,111,117,114,33,42,46,11,9,"1,680","1,342",143,210,48,23,18
HD_60,"3,763","2,101",493,117,109,99,34,36,51,11,10,805,"1,033",102,37,49,18,20
HD_61,"3,574","2,115",417,130,55,67,37,42,68,6,15,613,850,96,70,70,50,50
HD_62,"3,270","1,091",85,50,53,55,42,36,24,6,8,"1,767","1,430",386,202,116,46,44
HD_63,"2,889","1,472",128,100,66,96,44,31,70,11,10,920,"1,202",109,48,68,33,15
HD_64,"2,813","1,773",179,99,67,87,55,29,119,14,8,"1,141","1,089",104,39,58,37,29
HD_65,"2,493","1,262",133,86,57,83,38,30,69,14,9,"1,280","1,299",144,39,64,29,32
HD_66,"3,920","2,205",431,115,107,89,42,37,53,12,11,705,831,109,31,51,32,22
HD_67,"2,001","1,008",148,85,72,40,30,16,41,12,10,"1,305","1,271",111,41,69,27,35
HD_68,"3,974","2,258",279,143,108,106,66,37,97,10,5,"1,250","1,592",134,39,79,41,33
HD_69,"2,084","1,025",172,80,55,54,34,29,55,10,8,852,948,120,35,66,27,31
HD_70,"3,319","1,491",166,86,41,32,23,28,63,12,2,"1,430","1,706",215,158,170,148,128
HD_71,"4,799","2,095",75,86,78,50,33,67,26,9,7,880,501,97,39,52,32,25
HD_72,"3,435",955,58,51,50,26,31,13,113,10,6,"1,119","1,592",389,264,162,110,89
HD_73,"3,462",911,71,36,43,49,28,18,28,8,11,"1,678","1,325",378,206,86,52,68
HD_74,"3,505",994,122,54,25,31,21,20,24,4,7,"1,342","1,792",316,236,171,190,122
HD_75,"1,057",368,29,23,30,44,18,13,15,4,6,"2,804","1,078",336,147,117,27,24
HD_76,"1,576",470,24,21,38,41,19,23,12,6,7,"3,754","1,625",526,226,126,41,33
HD_77,793,293,17,19,32,44,16,18,6,2,5,"3,830","1,106",463,84,72,24,31
HD_78,"3,918","2,084",410,147,88,57,36,51,98,37,11,634,927,89,58,70,50,38
HD_79,"1,485",411,23,15,26,23,14,15,12,6,4,"2,654","1,341",316,203,113,21,17
HD_80,"3,836","1,545",96,64,50,36,33,33,15,3,6,601,614,94,49,65,34,31
HD_81,"3,596","1,215",69,35,52,51,35,42,35,6,11,"1,406","1,136",271,137,86,60,37
HD_82,"4,425","2,105",49,129,62,30,24,47,49,3,11,292,312,16,9,14,22,8
HD_83,"7,215","2,908",113,196,95,86,106,89,50,32,24,314,396,51,34,43,32,34
HD_84,"2,754",818,37,102,38,17,18,52,10,3,8,"1,610","2,126",389,176,269,418,337
HD_85,"5,764","2,860",91,148,73,50,51,78,31,19,18,628,440,54,23,35,39,20
HD_86,"5,225","1,991",87,158,68,43,40,97,25,15,14,337,398,50,32,36,49,28
HD_87,"4,933","1,737",75,184,61,36,53,58,22,13,9,400,525,49,27,82,105,80
HD_88,"2,545",798,69,44,55,67,38,52,18,6,8,"2,503","1,357",394,166,106,28,33
HD_89,"5,240","2,032",80,118,74,41,44,65,23,17,17,865,840,127,104,117,167,79
HD_90,"6,550","2,371",87,124,72,51,54,112,27,16,23,293,277,27,17,27,35,14
HD_91,"4,115","1,035",210,63,49,61,35,31,25,9,13,"1,263","1,055",286,136,104,58,48
HD_92,"2,743","1,328",50,97,49,16,32,68,9,14,12,970,"1,302",180,109,120,228,429
HD_93,"1,730",536,36,32,43,48,21,22,18,7,7,"2,540","1,156",387,141,125,32,32
HD_94,"3,011","1,200",85,102,51,23,29,49,16,9,6,821,924,104,73,100,166,107
HD_95,"1,803","1,066",39,66,26,15,16,28,15,6,5,"1,334","1,864",198,177,140,323,227
HD_96,"3,125","1,475",169,148,76,26,53,44,65,6,15,494,681,77,41,56,79,48
HD_97,"4,238","2,074",58,185,89,29,78,96,38,9,18,394,555,54,35,64,95,59
HD_98,"2,809","1,694",70,106,75,34,39,23,53,8,12,755,"1,034",78,44,74,105,106
HD_99,"1,814",598,45,36,28,15,21,21,20,5,6,"1,316","1,518",184,130,175,174,141
HD_100,"2,670","1,574",95,126,85,38,69,67,28,6,12,858,"1,019",77,40,78,117,167
