County,Beshear,Adkins,Edelen,Young,Bevin,Goforth,Woods,Lawrence,Henry,Belcher,Griffith,Sebesta,Adams,English,Knipper,Nett,Cameron,Schroder,Donahue,Coots,Tobe,Bowman,Mers,Conway,Trigg,Quarles,Polyniak
Menifee,113,743,98,21,196,77,9,3,519,140,162,24,104,48,45,54,135,124,211,205,98,495,267,498,279,223,33
Mercer,"1,006",682,551,46,911,599,65,58,"1,642",194,253,58,577,413,286,147,924,574,718,490,289,"1,091",697,"1,034",854,"1,365",169
Metcalfe,277,274,127,16,371,306,33,21,393,135,90,13,308,152,133,57,409,276,205,157,75,413,127,317,286,567,128
Monroe,82,59,24,3,487,"1,145",64,28,97,32,22,3,487,459,293,150,792,660,54,38,17,96,43,81,75,"1,368",220
Montgomery,601,"2,058",555,56,801,396,49,35,"2,179",318,398,91,444,283,206,204,652,538,"1,119",695,337,"1,470","1,092","1,651","1,035","1,040",153
Morgan,109,"1,940",187,24,168,105,14,8,"1,064",444,365,49,126,38,31,78,148,122,482,642,200,"1,339",374,"1,301",462,191,73
Muhlenberg,"1,289","1,023",594,47,496,234,27,27,"1,592",639,453,59,340,160,98,94,446,255,715,939,270,"1,904",576,"1,744",831,516,176
Nelson,"1,758","1,173","1,561",80,"1,121",498,125,66,"3,561",371,364,90,520,403,293,407,957,729,"1,799",877,610,"2,594","1,153","2,067","1,877","1,379",301
Nicholas,342,728,333,34,160,70,14,8,"1,056",131,133,31,63,76,60,30,142,99,367,292,117,609,468,671,437,215,21
Ohio,539,455,294,30,694,798,80,48,749,288,179,29,575,408,275,177,883,566,340,501,90,831,283,793,393,"1,047",410
Oldham,"2,190",740,"1,922",95,"3,592","1,705",481,186,"3,629",474,488,165,"1,508","2,387",722,716,"3,249","2,300","1,685","1,299",944,"2,653","1,491","2,251","2,030","4,786",671
Owen,269,598,184,54,320,180,48,14,757,123,138,42,207,131,109,60,216,309,295,248,180,591,329,530,440,499,57
Owsley,48,116,27,3,164,300,8,7,101,22,37,4,208,83,67,34,255,151,45,58,13,111,25,110,36,309,97
Pendleton,223,477,73,44,357,215,54,11,587,97,78,22,189,170,102,104,126,496,229,179,121,483,191,466,226,488,89
Perry,533,"1,765",321,51,544,540,23,19,"1,399",487,429,80,498,228,171,119,656,378,556,832,352,"1,631",516,"1,641",600,741,280
Pike,"1,370","3,900",705,152,"1,102","1,310",145,108,"2,545","1,888",893,124,"1,130",551,354,295,"1,372",993,"1,546","1,693",771,"3,578","1,210","3,577","1,335","1,647",660
Powell,366,894,218,12,337,195,20,24,"1,046",108,229,34,211,138,80,91,300,228,406,329,161,830,433,918,367,438,84
Pulaski,683,823,505,23,"3,805","3,895",162,128,"1,336",268,242,43,"3,523","1,624","1,134",712,"4,553","2,833",653,616,237,"1,180",490,"1,108",628,"5,861","1,410"
Robertson,51,171,51,13,49,24,4,3,229,31,19,4,28,15,14,14,39,37,84,55,52,124,129,165,92,69,7
Rockcastle,145,159,102,6,877,"1,188",63,50,258,61,48,19,"1,100",377,239,197,"1,371",628,117,141,45,247,100,254,106,"1,546",426
Rowan,221,"3,079",207,13,554,411,73,38,"2,081",563,439,67,424,257,153,125,570,422,"1,021",974,313,"1,837",917,"1,884",956,754,231
Russell,229,268,128,19,"1,013","1,403",50,44,402,91,85,14,"1,128",568,324,188,"1,480",797,175,217,47,385,131,375,171,"2,031",342
Scott,"1,924","1,759","1,601",85,"2,179","1,488",192,162,"3,911",429,584,152,"1,419","1,076",686,315,"2,034","1,665","1,846","1,364",572,"2,669","1,712","3,019","1,768","3,629",312
Shelby,"1,514","1,396","1,253",97,"2,105",866,255,70,"3,284",400,311,114,"1,057","1,053",375,401,"1,787","1,268","1,404","1,190",622,"2,225","1,262","1,870","1,773","2,757",334
Simpson,522,305,179,39,339,256,24,14,557,215,172,25,185,141,156,93,307,273,312,311,123,520,400,592,341,459,128
Spencer,478,371,433,20,"1,057",380,91,36,"1,017",111,93,29,483,332,360,215,864,598,332,497,161,737,346,633,505,"1,280",182
Taylor,596,443,553,29,"1,160",821,83,40,"1,097",204,190,27,864,476,305,245,"1,319",665,493,411,181,935,386,986,412,"1,653",331
Todd,285,369,124,48,191,133,14,13,305,248,187,21,139,75,54,44,182,135,181,320,78,554,154,504,239,247,71
Trigg,413,374,167,34,511,352,31,40,535,224,156,25,433,233,100,100,529,342,371,250,104,680,200,452,474,726,180
Trimble,256,392,229,47,187,66,34,8,677,100,80,30,103,53,39,77,145,133,256,240,140,579,199,435,329,216,62
Union,425,637,257,38,196,75,12,4,751,235,220,38,122,60,45,32,149,111,362,264,120,821,289,804,387,220,51
Warren,"4,446","1,685","2,526",233,"3,762","2,623",317,180,"5,555","1,056","1,306",376,"2,397","2,069",989,571,"3,482","2,826","3,694","1,831","1,145","4,302","3,176","3,718","4,063","5,562",743
Washington,402,455,431,39,412,207,35,18,951,136,125,43,237,174,93,95,403,225,445,243,174,714,311,605,501,548,80
Wayne,252,401,138,13,776,861,47,28,464,109,126,14,723,325,262,153,"1,014",526,199,225,114,487,122,431,201,"1,358",215
Webster,450,330,234,51,214,88,17,3,646,180,140,28,125,77,43,49,200,97,314,311,102,685,214,673,290,231,69
Whitley,356,200,198,12,"1,488","2,492",92,86,476,107,111,25,"1,827",882,537,341,"2,467","1,289",235,259,58,473,181,443,227,"2,971",782
Wolfe,131,905,158,24,86,56,9,2,645,126,259,46,61,42,20,12,75,70,298,296,148,640,319,678,327,114,23
Woodford,"1,365","1,529","1,315",75,"1,222",749,115,77,"3,112",328,493,97,704,631,349,195,"1,112",879,"1,403",993,565,"2,041","1,358","1,905","1,612","1,811",224
