County,Bevin,Conway,Curtis,Write-in,Grimes,Knipper,Beshear,Westerfield,Harmon,Edelen,Ball,Nelson,Quarles,Spann
Pulaski,"10,623","3,664",467,9,"5,236","9,335","4,246","10,215","9,806","4,381","11,575","2,730","11,336","2,884"
Robertson,247,202,16,0,219,245,234,228,205,249,240,217,281,179
Rockcastle,"2,536",744,132,3,"1,079","2,257",914,"2,412","2,454",797,"2,669",598,"2,663",607
Rowan,"2,179","2,321",169,0,"2,785","1,843","2,459","2,130","1,916","2,579","2,512","2,014","2,402","2,091"
Russell,"3,312","1,144",139,0,"1,631","2,898","1,285","3,207","3,134","1,255","3,536",913,"3,638",824
Scott,"6,165","5,232",617,0,"6,206","5,733","5,837","6,034","5,924","5,681","7,682","3,950","8,553","3,367"
Shelby,"6,573","4,575",436,2,"5,340","6,151","5,177","6,187","6,072","5,126","7,526","3,701","7,511","3,710"
Simpson,"1,652","1,059",62,0,"1,235","1,507","1,204","1,520","1,599","1,042","1,719",965,"1,745",915
Spencer,"3,169","1,705",169,0,"2,031","2,973","1,946","3,013","2,909","1,942","3,442","1,437","3,398","1,486"
Taylor,"3,852","2,260",174,0,"2,836","3,375","2,605","3,547","3,539","2,518","4,169","1,933","4,178","1,841"
Todd,903,503,45,0,596,854,404,"1,052",895,501,909,509,965,452
Trigg,"1,746","1,342",86,0,"1,457","1,694","1,131","2,022","1,837","1,228","1,795","1,317","2,007","1,097"
Trimble,"1,033",797,65,1,989,904,946,921,924,910,"1,049",795,"1,052",785
Union,"1,829","1,928",91,0,"2,243","1,536","2,297","1,455","1,715","1,867","1,862","1,771","1,964","1,658"
Warren,"12,411","9,354",730,1,"10,637","11,745","10,494","11,675","12,376","9,219","14,383","7,585","13,891","7,935"
Washington,"1,796","1,205",129,0,"1,470","1,605","1,378","1,680","1,861","1,238","1,913","1,101","1,949","1,054"
Wayne,"2,412","1,239",86,1,"1,647","2,029","1,340","2,310","2,189","1,356","2,578","1,012","2,591",958
Webster,"1,567","1,168",72,0,"1,396","1,373","1,476","1,294","1,432","1,237","1,495","1,210","1,576","1,127"
Whitley,"4,772","1,857",215,0,"2,458","4,286","2,023","4,682","4,669","1,857","5,142","1,475","5,130","1,447"
Wolfe,689,763,41,0,901,574,860,604,555,856,664,761,701,737
Woodford,"3,804","3,704",495,1,"4,399","3,551","4,076","3,792","3,553","4,249","4,803","2,992","4,690","3,096"
