District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
HD_19,"6,052","7,361",7,"8,952","4,196",24,"8,630","4,591","8,948","4,204","8,431","4,639",5,"8,936","4,236"
HD_20,"6,568","4,758",0,"6,216","4,893",9,"5,763","5,352","6,133","4,920","5,680","5,298",0,"6,000","5,012"
HD_21,"4,456","9,810",0,"11,161","2,564",0,"11,093","2,645","11,284","2,425","10,868","2,707",0,"11,321","2,396"
HD_22,"4,423","7,669",0,"8,709","3,182",1,"8,462","3,448","8,694","3,174","8,402","3,433",0,"8,694","3,163"
HD_23,"4,965","6,918",1,"8,262","3,302",3,"8,024","3,572","8,350","3,211","7,701","3,777",0,"8,390","3,181"
HD_24,"4,758","8,416",2,"9,812","3,126",7,"9,637","3,323","9,806","3,084","9,445","3,400",3,"9,184","3,774"
HD_25,"6,196","5,526",0,"6,771","4,782",1,"6,545","5,034","6,766","4,716","6,363","5,089",0,"6,476","4,982"
HD_26,"4,829","5,994",0,"7,196","3,462",5,"7,218","3,460","7,289","3,309","7,012","3,580",5,"7,140","3,437"
HD_27,"5,366","5,778",3,"6,976","4,011",6,"6,861","4,137","7,043","3,920","6,701","4,222",6,"6,941","4,001"
HD_28,"8,080","5,091",1,"6,571","6,376",1,"6,551","6,439","6,589","6,237","6,123","6,728",1,"6,447","6,338"
HD_29,"9,951","7,476",1,"9,464","7,588",2,"9,077","8,035","9,450","7,481","8,828","8,065",2,"9,060","7,776"
HD_30,"8,064","1,697",1,"2,483","7,140",0,"2,220","7,445","2,399","7,175","2,121","7,471",2,"2,233","7,338"
HD_31,"11,200","6,786",0,"9,161","8,421",9,"8,408","9,256","8,870","8,544","8,153","9,230",0,"8,450","8,887"
HD_32,"12,785","5,423",0,"7,667","10,144",4,"6,826","11,031","7,294","10,327","6,630","11,011",0,"6,866","10,705"
HD_33,"10,507","8,219",1,"10,517","7,864",11,"9,863","8,550","10,337","7,863","9,701","8,498",1,"9,926","8,203"
