County,Beshear,Cameron,Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
Todd,907,"1,753",2,"1,922",696,0,"1,889",710,"1,896",691,"1,846",742,0,"1,900",684
Trigg,"1,532","2,591",0,"2,895","1,181",0,"2,782","1,295","2,844","1,213","2,774","1,288",0,"2,842","1,220"
Trimble,"1,108","1,405",0,"1,686",796,0,"1,688",787,"1,705",764,"1,609",854,1,"1,697",771
Union,"1,722","2,107",0,"2,471","1,255",0,"2,514","1,222","2,467","1,217","2,419","1,268",0,"2,545","1,165"
Warren,"18,165","16,685",5,"20,751","13,445",45,"19,704","14,606","20,695","13,436","19,385","14,554",5,"20,496","13,607"
Washington,"1,772","2,346",1,"2,738","1,284",1,"2,736","1,291","2,813","1,201","2,636","1,367",0,"2,761","1,247"
Wayne,"1,754","2,885",0,"3,507","1,005",0,"3,414","1,103","3,564",956,"3,279","1,187",0,"3,469","1,026"
Webster,"1,425","2,024",0,"2,321","1,053",0,"2,318","1,068","2,291","1,066","2,256","1,101",0,"2,356","1,014"
Whitley,"2,697","5,540",0,"6,560","1,529",0,"6,462","1,638","6,566","1,505","6,355","1,683",0,"6,518","1,544"
Wolfe,"1,010",754,0,"1,001",707,0,929,766,979,712,883,809,0,982,718
Woodford,"6,414","4,411",0,"6,318","4,310",3,"5,660","4,962","6,160","4,424","5,514","4,981",2,"5,816","4,720"
