District,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
HD_31,"1,974",511,468,81,67,65,33,16,7,10,6,10,"2,892",71,59,"1,962",617,252,"2,092",649,"1,252",709,798,"1,448","1,314","1,830",911
HD_32,"1,620",386,326,82,60,80,29,20,9,12,6,8,"3,430",54,59,"1,611",489,213,"1,698",534,"1,080",520,667,"1,220","1,036","2,244",967
HD_33,"2,560",640,533,94,59,87,19,19,6,11,10,7,"2,359",55,43,"2,441",860,265,"2,556",877,"1,491",958,996,"1,949","1,467","1,490",747
HD_34,"1,497",433,324,49,45,86,23,9,6,22,5,4,"4,941",82,81,"1,582",399,166,"1,666",427,949,429,728,"1,112",985,"3,426","1,180"
HD_35,713,136,168,68,33,13,21,9,3,10,3,3,"1,646",61,36,649,257,160,723,318,549,274,234,548,505,"1,008",623
HD_36,"2,630",599,481,70,85,73,20,15,15,8,3,2,"2,241",48,39,"2,386",820,292,"2,595",818,"1,535",886,"1,010","1,854","1,554","1,489",667
HD_37,"1,255",210,302,111,66,39,29,17,4,11,5,7,"1,583",74,54,"1,083",405,367,"1,261",569,950,502,400,976,880,971,638
HD_38,940,176,251,81,44,23,30,18,6,12,3,4,"2,001",60,60,862,348,237,977,427,766,365,293,678,746,"1,174",785
HD_39,"1,577",933,538,83,99,105,15,15,13,17,2,7,"1,979",105,50,"2,046",762,221,"2,116",865,"1,052","1,369",696,"1,781","1,131","1,229",700
HD_40,236,51,83,28,18,10,14,3,2,5,3,2,"2,193",61,51,261,110,47,291,117,200,111,113,217,199,"1,155",978
HD_41,940,302,210,50,36,51,24,10,2,16,7,10,"5,277",62,73,"1,047",277,148,"1,054",369,628,347,457,704,709,"3,721","1,185"
HD_42,168,36,45,7,9,10,9,4,1,3,3,3,"2,941",36,34,176,62,32,196,75,110,73,80,140,127,"1,732","1,040"
HD_43,163,46,73,9,10,10,12,6,1,2,0,0,"2,601",51,30,187,68,47,220,75,133,70,93,156,137,"1,465","1,022"
HD_44,430,64,127,47,16,7,17,10,1,14,1,5,"2,907",53,48,421,159,103,465,202,373,164,144,332,360,"1,452","1,341"
HD_45,"1,974","1,482",804,86,104,176,19,23,6,9,8,9,"3,097",95,63,"2,979",874,271,"3,012","1,027","1,490","1,503","1,186","2,277","1,644","1,945","1,001"
HD_46,"1,170",257,296,61,59,34,25,10,6,25,2,5,"2,536",76,42,"1,151",385,206,"1,248",450,841,444,427,901,834,"1,496",942
HD_47,"1,530",778,331,288,67,37,15,27,15,10,2,5,"1,725",298,150,"1,664",930,184,"1,866",881,"1,248","1,021",460,"1,674","1,062",924,"1,116"
HD_48,"2,691",654,530,93,61,150,35,13,7,15,0,10,"3,074",52,67,"2,624",791,248,"2,810",755,"1,532",816,"1,207","2,052","1,485","2,082",760
HD_49,"2,222",460,468,194,66,60,15,16,5,12,8,10,"1,342",94,73,"1,556",820,799,"2,152",929,"1,737",798,569,"1,659","1,431",782,634
HD_50,"1,487",425,359,126,58,29,18,41,17,11,7,8,"1,672",96,99,"1,130","1,002",199,"1,558",671,"1,079",786,413,"1,246",962,"1,051",661
HD_51,"1,272",634,"1,511",115,63,33,22,16,12,4,3,4,"1,506",170,104,"2,296",577,246,"2,498",715,"1,742",854,495,"1,524","1,601",834,761
HD_52,"1,864","1,040","1,046",208,117,370,10,11,9,14,10,9,579,34,15,"2,583",925,489,"3,045",911,"2,334",870,701,"2,185","1,777",300,236
HD_53,"2,690","1,559",567,250,142,70,24,32,15,12,14,12,"2,089",174,127,"3,168","1,323",348,"3,433","1,316","2,193","1,443","1,075","2,900","1,740","1,099","1,092"
HD_54,"1,854","1,104",636,176,446,89,9,15,10,4,11,9,"1,482",83,66,"2,906",810,224,"2,860",966,"2,031","1,143",699,"2,426","1,481","1,035",447
HD_55,"1,748","1,166",352,153,220,59,11,23,7,17,5,7,"1,728",177,105,"2,243",767,293,"2,326",904,"1,443","1,128",719,"2,102","1,199",902,881
HD_56,"1,683","1,424",603,126,122,133,23,38,8,13,13,9,"3,681",220,127,"2,460",954,288,"2,735",935,"1,426","1,355",966,"2,150","1,449","2,252","1,363"
HD_57,"1,186",938,320,150,79,59,14,17,12,6,7,2,"5,389",244,188,"1,746",676,149,"2,006",559,914,876,728,"1,242","1,161","3,215","2,026"
HD_58,"2,140","1,047",392,211,82,62,23,26,13,4,7,5,"1,945",85,80,"2,369",946,259,"2,551",941,"1,672","1,004",792,"2,057","1,408","1,053",853
HD_59,"2,963",707,483,141,62,86,30,21,15,12,6,5,"1,568",47,31,"2,434","1,377",231,"2,794","1,127","1,716","1,146","1,068","2,338","1,548",985,513
HD_60,"1,883",299,619,534,100,70,39,34,28,7,12,5,"1,026",24,20,"1,461","1,567",263,"2,090","1,069","1,232","1,376",620,"1,816","1,209",680,298
HD_61,"1,589",481,515,607,106,46,26,21,57,10,7,7,896,105,44,"1,397","1,517",238,"1,944","1,105","1,131","1,539",434,"1,892","1,058",507,474
HD_62,"1,307","2,085",368,171,69,75,13,17,8,5,9,9,"2,297",110,65,"2,504",793,303,"2,501","1,013","1,540","1,156",897,"2,118","1,394","1,264",942
HD_63,"1,311",276,566,419,101,70,51,23,10,12,9,9,"1,306",38,33,"1,212","1,136",250,"1,756",711,"1,021",857,593,"1,439",930,834,359
HD_64,"1,341",319,666,570,129,73,59,18,16,8,8,3,"1,307",46,31,"1,291","1,397",229,"1,948",843,"1,161","1,055",607,"1,610","1,104",776,457
