County,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
Owen,408,368,108,112,29,13,3,10,3,1,0,0,385,78,31,533,367,49,613,319,377,442,115,609,319,190,267
Owsley,139,112,91,27,11,11,1,1,4,1,2,1,73,3,4,233,67,48,244,96,219,64,55,177,182,24,50
Pendleton,344,251,212,233,28,9,30,4,2,3,3,0,347,53,40,476,477,67,659,335,459,451,90,647,337,184,232
Perry,420,137,401,89,16,15,6,4,6,4,8,1,861,80,53,641,193,156,698,275,592,203,190,536,403,418,491
Pike,937,362,692,287,67,32,14,17,27,5,7,8,"1,631",182,158,"1,325",510,335,"1,570",628,"1,261",633,304,"1,153",932,748,"1,053"
Powell,321,169,112,70,26,7,6,3,4,6,0,3,501,66,23,537,100,66,444,250,426,160,104,367,318,228,336
Pulaski,"3,965","1,896","1,264",278,197,"1,418",26,15,19,13,15,21,919,40,29,"5,217","1,790",944,"5,894","1,977","4,763","1,595","1,524","4,368","3,394",554,339
Robertson,43,48,15,13,0,2,3,3,0,0,1,0,114,29,18,56,54,6,63,44,45,48,18,66,45,64,85
Rockcastle,"1,051",458,439,76,59,54,8,5,21,5,2,4,171,8,7,"1,361",421,190,"1,402",526,"1,379",412,203,"1,629",494,84,86
Rowan,521,343,137,47,26,21,3,4,1,1,1,4,"1,136",67,43,694,214,84,733,237,544,245,196,480,465,657,459
Russell,"1,073",628,764,77,105,71,18,19,21,2,3,5,233,14,15,"1,897",425,136,"1,845",576,"1,133",917,376,"1,356","1,055",128,110
Scott,"1,649","2,550",445,228,83,97,18,20,15,8,10,10,"2,902",131,77,"3,063","1,001",386,"3,065","1,303","1,936","1,435","1,096","2,619","1,736","1,651","1,141"
Shelby,"2,341","1,099",428,221,82,64,24,29,13,5,7,5,"2,006",86,82,"2,543","1,001",278,"2,717","1,023","1,794","1,075",848,"2,197","1,509","1,086",879
Simpson,344,405,168,27,54,17,7,3,6,5,1,2,414,35,27,499,376,53,726,198,319,511,103,559,366,264,178
Spencer,"1,224",634,226,97,46,31,9,11,10,7,3,7,572,47,38,"1,300",561,167,"1,392",593,977,579,407,"1,214",758,307,311
Taylor,969,498,"1,405",79,46,25,15,12,10,2,3,3,703,58,36,"1,899",473,207,"2,094",574,"1,441",707,397,"1,250","1,335",370,342
Todd,197,106,74,25,15,5,8,10,8,3,0,0,249,48,36,287,80,35,273,124,202,139,42,173,195,150,157
Trigg,420,346,189,49,24,11,9,3,7,1,2,3,477,40,36,662,216,66,702,243,461,326,145,372,546,293,234
Trimble,261,77,51,45,13,3,3,3,4,7,0,2,326,81,46,236,144,40,271,146,189,151,78,262,158,206,233
Union,328,200,190,29,15,7,4,1,4,1,1,1,551,73,73,389,293,37,483,202,363,263,68,353,336,263,368
Warren,"3,298","2,396","1,132",227,149,225,35,47,11,11,15,18,"4,156",161,130,"4,482","1,687",493,"4,900","1,634","3,470","1,829","1,209","4,189","2,411","2,452","1,625"
Washington,545,229,89,44,62,7,4,13,3,2,0,0,501,45,29,582,208,75,634,212,411,282,151,467,369,300,214
Wayne,653,657,601,71,39,118,1,6,3,4,3,4,299,16,10,"1,260",362,204,"1,449",355,"1,030",372,343,"1,208",677,134,133
Webster,380,128,121,31,9,4,5,3,3,1,1,0,394,63,37,379,159,44,420,160,314,201,61,275,302,227,227
Whitley,"1,863",658,551,196,68,124,13,11,11,6,9,9,309,16,9,"1,925",773,417,"2,346",753,"1,822",642,629,"1,814","1,289",178,133
Wolfe,71,39,16,15,11,3,1,0,2,0,1,1,394,58,55,94,34,15,97,38,76,37,27,68,71,217,240
Woodford,871,891,346,61,66,67,12,21,3,9,6,4,"2,283",137,74,"1,388",517,176,"1,537",505,879,655,543,"1,268",773,"1,417",814
