District,Harris,Trump,Kennedy,Stein,Oliver,Ayyadurai,Write-in,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
KY-01,"88,125","250,232","2,622",796,849,126,71,"206,582","111,313","116,260","213,467"
KY-02,"100,536","245,734","2,926",970,968,151,145,"215,378","114,959","126,476","214,982"
KY-03,"194,712","131,797","2,492","1,941","1,084",164,470,"162,944","151,203","104,433","219,337"
KY-04,"117,644","250,916","3,169","1,400","1,461",214,208,"235,102","120,880","139,622","226,797"
KY-05,"55,275","257,630","2,315",707,664,165,35,"190,214","96,503","107,480","193,765"
KY-06,"147,751","201,185","3,245","1,752","1,396",195,292,"200,361","135,195","113,548","234,118"
SD_01,"12,471","40,036",430,131,132,19,11,"32,492","16,769","17,323","33,863"
SD_02,"15,882","44,560",444,141,166,13,13,"37,291","19,652","21,049","37,762"
SD_03,"11,359","29,683",295,92,103,18,1,"25,715","12,383","15,190","24,410"
SD_04,"14,131","37,050",381,123,125,20,9,"31,388","17,349","17,356","32,977"
SD_05,"10,611","41,806",470,112,120,18,9,"33,404","16,235","18,958","32,427"
SD_06,"27,995","35,711",561,377,299,36,50,"39,095","23,200","24,110","40,010"
SD_07,"19,484","40,288",579,183,206,28,32,"37,401","20,135","24,140","35,219"
SD_08,"17,835","37,658",503,152,161,24,31,"33,487","19,299","20,409","34,361"
SD_09,"12,513","38,029",361,109,117,22,7,"29,935","17,360","16,363","32,642"
SD_10,"16,833","31,282",459,187,160,28,22,"30,309","16,518","17,888","30,060"
SD_11,"18,050","37,686",452,193,287,36,34,"36,841","17,691","21,551","34,050"
SD_12,"26,509","38,182",577,326,286,38,50,"37,810","24,777","20,740","44,233"
SD_13,"30,405","14,993",402,330,200,21,69,"20,480","23,319","10,805","34,652"
SD_14,"14,365","41,945",440,111,129,23,21,"35,193","17,734","20,260","34,924"
SD_15,"9,027","48,074",343,93,115,18,13,"36,407","16,182","20,120","34,717"
SD_16,"12,951","44,069",421,114,118,20,14,"35,472","17,484","19,765","35,779"
SD_17,"19,941","41,730",600,232,236,37,24,"39,728","20,257","21,499","40,117"
SD_18,"13,443","41,302",434,121,139,25,4,"33,372","17,712","17,906","35,322"
